,MiFish_MiMammal_aligned.tre,mlCOIintF_aligned.tre,teleo_F_L1848_aligned.tre,Vert-16S-eDNA-F1_aligned.tre
iSimangaliso Wetland Park,18639.801650000005,36310.746280000305,6341.753019999999,6965.229709999995
Ningaloo Coast,19461.582870000002,54963.97959000052,7663.671589999991,7518.437680000014
Lord Howe Island Group,11707.395869999993,33133.904200000085,5017.520160000015,5388.365940000017
Cocos Island National Park,11696.589889999963,22493.17853000007,6872.827819999985,6916.284359999994
Aldabra Atoll,17098.896419999917,36713.05928000016,7749.495149999985,7784.014200000008
"Shark Bay, Western Australia",10666.678640000016,20503.83244999993,4807.877730000006,4708.940519999996
French Austral Lands and Seas,6356.96044999999,10542.084729999999,3202.5650700000024,2807.135209999998
Everglades National Park,8257.835159999995,15492.794510000032,3517.264359999998,3548.3445399999996
Coiba National Park and its Special Zone of Marine Protection,12426.348909999972,21654.396940000108,6233.570410000001,6604.374670000001
"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve",5829.137869999989,14984.650980000073,3640.1001499999975,3198.3631199999973
Banc d'Arguin National Park,11364.767070000045,14121.905879999998,4031.316850000017,4589.745019999999
Wadden Sea,11519.367370000042,15308.062970000043,3911.3725900000013,3721.984389999999
Socotra Archipelago,3953.863810000007,7083.97769999999,1105.2065200000022,1342.30644
Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,8562.21405000001,27383.191489999892,4721.195799999985,4151.764299999997
Belize Barrier Reef Reserve System,12248.905899999887,31817.319370000176,5962.794360000011,5768.389479999996
Archipiélago de Revillagigedo,10338.230989999975,23626.719250000195,6005.592969999994,5375.241350000003
Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,14903.100189999916,43258.59314000025,7716.089329999995,8157.862270000006
Peninsula Valdès,10902.747890000068,20309.614200000044,4055.232790000001,4495.534259999994
Tubbataha Reefs Natural Park,13861.828429999914,28367.08380000016,7680.7643100000005,7881.141870000012
The Sundarbans,8285.295459999983,11498.633289999945,3227.943089999996,3402.021089999993
